label	pos	tensor	layer	type	point	rel_before	rel_after	step	cos	sub	sub_rel	sub_cos
p4	3	attn_residual-22	22	linear_gated_deltanet	mixer	0.132597	0.135173	0.002576	0.990872	linear_attn_out-22	0.207133	0.981316
p4	3	l_out-22	22	linear_gated_deltanet	ffn	0.135173	0.131871	-0.003302	0.991273	ffn_out-22	0.149955	0.988766
p4	3	attn_residual-23	23	full_attention	mixer	0.131871	0.139796	0.007925	0.990208	attn_output-23	0.129136	0.991687
p4	3	l_out-23	23	full_attention	ffn	0.139796	0.167799	0.028003	0.986700	ffn_out-23	0.150056	0.990237
p4	3	result_norm	-1	-	final_norm	0.167799	0.165674	-0.002125	0.986881	-	-	-
orig	4	attn_residual-0	0	linear_gated_deltanet	mixer	0.000000	0.033858	0.033858	0.999427	linear_attn_out-0	0.034282	0.999413
orig	4	l_out-0	0	linear_gated_deltanet	ffn	0.033858	0.037471	0.003613	0.999299	ffn_out-0	0.060557	0.998166
orig	4	attn_residual-1	1	linear_gated_deltanet	mixer	0.037471	0.034549	-0.002922	0.999404	linear_attn_out-1	0.046844	0.998905
orig	4	l_out-1	1	linear_gated_deltanet	ffn	0.034549	0.045377	0.010828	0.999001	ffn_out-1	0.066921	0.997767
orig	4	attn_residual-2	2	linear_gated_deltanet	mixer	0.045377	0.045413	0.000036	0.998978	linear_attn_out-2	0.069095	0.997636
orig	4	l_out-2	2	linear_gated_deltanet	ffn	0.045413	0.045680	0.000267	0.999043	ffn_out-2	0.062774	0.998079
orig	4	attn_residual-3	3	full_attention	mixer	0.045680	0.051529	0.005849	0.998753	attn_output-3	0.081550	0.996987
orig	4	l_out-3	3	full_attention	ffn	0.051529	0.051407	-0.000122	0.998702	ffn_out-3	0.074924	0.997224
orig	4	attn_residual-4	4	linear_gated_deltanet	mixer	0.051407	0.056780	0.005373	0.998387	linear_attn_out-4	0.090987	0.995897
orig	4	l_out-4	4	linear_gated_deltanet	ffn	0.056780	0.056904	0.000124	0.998382	ffn_out-4	0.087003	0.996209
orig	4	attn_residual-5	5	linear_gated_deltanet	mixer	0.056904	0.055523	-0.001381	0.998458	linear_attn_out-5	0.089559	0.996020
